quarter_str,ts_code,trade_date,mom_1m,mom_3m,mom_12m_1m,reversal_5d,turn_20d,vol_ratio,vol_20d,vol_change,ma_bias_20,rsi_14,bb_pos,ln_market_cap,next_return
2015Q1,000001.SZ,2015-03-31,-0.16590444373831575,-0.8335446553332673,-0.20313141225890427,-0.009017570554663443,0.10848113606077252,-0.5450156386202571,-0.31543531188300505,-0.12755308587125808,-0.24179079926208652,0.43123875727839905,-0.026008039075473444,0.6945658642014066,0.11735639683975618
2015Q1,000002.SZ,2015-03-31,-0.5317554340408245,-0.3851773089774009,0.06787978848606029,-0.5989401430797504,0.47890483076021056,1.968462197039425,-0.06873077729854041,1.1468701023343768,0.1351554606109802,-0.11103683048772768,0.7429359114714316,1.4359742798920476,0.050468794429492814
2015Q1,000063.SZ,2015-03-31,-0.6546080394198259,-0.2494417312457554,-0.2351992084010656,0.97709560541182,-0.32086262250450304,-0.2711015500039361,-0.927303096517582,-0.4574188647317461,-0.5604234065773489,0.07696498347322603,-0.41270531970671415,0.4178635204466669,0.08901850668435074
2015Q1,000100.SZ,2015-03-31,-0.07653616231053538,0.8991039211413786,0.46497964052756335,0.4517503559146331,1.4205090764624795,-1.4649313240163218,0.8628551818835455,-1.9801883159529454,-0.2797252701441142,0.3884096738762134,-0.41316418380384107,0.37399608655203054,-0.030153251808037407
2015Q1,000157.SZ,2015-03-31,0.10931897901200228,-0.452019800834382,-0.761837075903009,-1.1801360503307872,0.2070304585074298,2.409923524009347,-0.0215052146345501,2.063368540454547,0.5191759505276079,0.6922828340069755,1.1316592608915728,0.8240324051757822,0.10836423903321002
2015Q1,000333.SZ,2015-03-31,-0.9500943190647764,-0.3655719109262758,0.5068336170727821,-0.07708555969217123,-0.5620855867009547,0.7429513502292213,-0.5332721096810422,0.29134377248449495,-0.35812026616639897,0.42186555673755155,1.208146182222096,0.22807540833596543,0.1628536574157613
2015Q1,000338.SZ,2015-03-31,0.11410583596608133,-0.25054068371556376,-0.17520812876574615,-1.2761293683452284,-0.5370469816641772,1.72370065503514,-0.22773646546313328,1.1108486483770383,0.5120699839977075,0.5970011325629412,0.6754730692184416,-0.502368834472023,0.01221705026538289
2015Q1,000538.SZ,2015-03-31,-0.6868487442193341,-0.561787527316287,-1.1200622732833616,0.844450293246416,-0.645544734859997,-0.7213734531382225,-1.155976690259899,-0.7166456270398524,-0.9032322702862928,-0.775460565675672,-0.41678254657636293,-0.28882832897197064,0.294155395875372
2015Q1,000568.SZ,2015-03-31,0.6623925425487546,-0.4856591563016618,-1.0958544067866793,-0.3668108467902896,-0.5918948550783828,-0.0725925690087572,-0.2143498322182015,1.5189217434345075,0.35462735892199077,0.19627311435070852,0.29404596545205214,-0.3969106525895977,0.32909806539036923
2015Q1,000596.SZ,2015-03-31,-0.4130411061064404,-1.1775935682863359,-0.23621718015956092,0.8880836196166095,-0.6657787067135849,0.2454828920088926,-0.5297146704901455,0.3018719814921992,-0.907461899347047,-0.9338094763186857,-1.1137587976202579,-0.6133596329416197,0.33400402180458166
2015Q1,000625.SZ,2015-03-06,-0.782697440964541,0.46260720140559025,0.3207583699504276,1.4640435277032326,-0.5480730184621619,0.7989460194037747,-0.2891755931384715,-0.4525711829006143,-1.363761067439431,-2.548593627497845,-2.015360362517676,-0.40228110238197057,0.05499479958730946
2015Q1,000651.SZ,2015-03-31,-0.7641311048774729,-0.49110612957142774,-0.25097884142425614,-0.2079855388027675,-0.48927470083726954,-0.00560841346262824,-0.9099068650615899,0.08267116412209712,-0.2836276933920739,0.4400082199197397,0.44796852752294103,0.0569158088683356,0.45974314062691457
2015Q1,000680.SZ,2015-03-31,1.6638131490491057,1.5007367048980116,1.678070648433517,-1.604251982649119,-0.22075935986170467,1.0143151559449084,1.8529744848064102,1.2616361492666914,1.9627219456014116,0.8972085190993367,0.5345041101902342,0.5308878453888962,-0.13935606554389446
2015Q1,000709.SZ,2015-03-31,0.3839448714761748,-0.35680016832074435,0.45161585546927857,0.06777708385688114,0.21244299031678088,0.4598471320751822,-0.20365417565946695,0.07370169073034216,1.0549770538215357,1.0223042361338972,0.846431782175864,0.4964597467637401,0.6168769241221641
2015Q1,000725.SZ,2015-03-31,1.1527811214662547,-0.25818117821970493,-0.6410365619657848,1.327907549428215,2.5971783036619533,-1.0175838557349475,1.3100238323442237,-1.9905242013152156,0.6254043024071678,0.6728101603305989,-0.45434689405474893,0.5647070390727152,0.2877611665659239
2015Q1,000776.SZ,2015-03-31,0.07111231241438158,-0.578995769261906,1.3278652289235728,-0.536108153106658,-0.1355425416480078,0.322796256840156,-0.4041403486136451,-0.16181855251894844,0.9522039599354242,1.5012936546380304,0.8181554095386583,1.1444690642840163,-0.18186354453423204
2015Q1,000858.SZ,2015-03-31,-0.4487984311598843,-0.837758499776969,-0.8960029355028177,0.12188240855592311,-0.44465609085841923,0.5709331909279477,-1.2493762380463944,0.5649012943845011,-0.5873176030816808,-0.26152009183724195,-0.14041648311984692,0.408077646425184,0.39491674850336667
2015Q1,000876.SZ,2015-03-31,1.4281012240664648,0.40284587629244406,-0.7207054608520448,0.949170276534894,-0.3501401814997007,-0.5504056897049402,2.1879650377796342,-1.9741816507823826,-0.43851252495260434,-0.7426098123483024,-0.5866699802970591,-0.39784908142891096,-0.062064172164985165
2015Q1,000895.SZ,2015-03-31,-0.19885814504837457,-0.23497367107370867,-1.4461614354561518,-0.7507841188480376,-0.6021134026200778,1.2670312343541885,-0.9049433555274994,0.7973405046187318,0.04455138690005049,1.712096784817105,0.9302322318185859,-0.5635074790726541,-0.10137304616888099
2015Q1,000963.SZ,2015-03-31,0.24059250623552256,-0.22969232734825212,-1.042216428063191,1.0957782531387659,-0.6773791273804967,-0.8649369098667807,0.5087658377762591,-1.4337609996645884,-0.7909690838665497,0.01376725957668477,-1.2884026233485761,-1.8241331013014734,0.16780881124599656
2015Q1,000999.SZ,2015-03-31,-0.28547697637596997,-0.1525530683613957,-1.444286722142145,0.188205064638629,-0.6257226065601718,-1.1001972488004126,-1.0038336501721588,-1.0243691995609827,-0.4332485044691567,1.934713106680698,0.007351677292088825,-0.825046426479638,0.13746866055394946
2015Q1,002001.SZ,2015-03-31,-0.3869383545154151,-0.4684639322306155,-1.006412627513682,0.491893016175215,-0.5627741344070294,0.4783107225681966,-0.16342503703898803,-0.26372990651498984,-0.7504622227470303,-0.5816638889550241,-0.8930436029169004,-0.9648407242888505,0.006705278621849997
2015Q1,002007.SZ,2015-03-31,0.35881250781876006,0.09282173778037299,-0.7296467025585756,0.6908609844233171,-0.6472645434101328,-1.2405782952264253,-0.4129090894077555,-1.1235821445370806,-0.3507761687679156,0.5271150130767714,-0.3008802222114009,-1.2311033831659095,0.05393950598791508
2015Q1,002008.SZ,2015-03-31,-0.21471424737861808,0.010152063898871458,-0.9807458874626345,-0.5779961464220557,-0.45504002208826005,0.5178748084717099,-0.9610908040189353,-0.20400301040553714,-0.09167874988480401,1.3801687112352514,1.3469278649014023,0.4053784627765148,0.39280381412094467
2015Q1,002081.SZ,2015-03-31,0.8988137332682195,3.4915627992452385,0.8911281999704403,-2.5414958330809796,-0.5840281198989254,1.0601838517806053,1.8512559341014747,1.6125550464792606,2.1612693772521623,1.0291607397378424,1.1361921540742506,-0.46818432504858887,-0.1961301607608692
2015Q1,002110.SZ,2015-03-31,1.7012788442477105,0.6904584068622406,-0.1551053298411994,-1.6234506462520082,-0.6645693040924149,1.6976534447935394,1.8192929277109957,1.7180508184017356,2.1548318708197476,0.6744846524347634,1.5803885516231946,-1.3176002393962962,-0.010300000000000198
2015Q1,002129.SZ,2015-03-31,1.7659605950958388,1.541397728288175,-0.3925954691078357,-1.6234506462520082,-0.6356188251448305,-0.020808778201324436,-0.10535329739260457,1.1387496901144358,1.6282583277900446,1.7450308089966786,0.730060461607468,-1.1319622530397861,0.2403517490494722
2015Q1,002152.SZ,2015-03-31,3.602992503570412,3.654402318124502,-0.21916531032998493,1.6001795059782424,-0.6098244362787811,-0.9579696743195225,2.5096788516691304,-1.9990482385870019,2.9754747123359957,1.5964549892342015,-0.40549109697970714,-0.9578705835354766,-0.1635607362841155
2015Q1,002230.SZ,2015-03-31,1.4261170911424217,2.3141192465890903,-0.5738847719102456,0.07999441524054114,-0.5482025414283295,-0.981485934273017,1.4927061589537682,-0.768441625977377,0.9109084590607752,0.36161174653863537,0.5724055014283286,-0.05801637847868665,0.010042480378749996
2015Q1,002241.SZ,2015-03-31,-0.09348763499266967,0.31527054332038185,-1.2205198812488758,-0.1852962090902707,-0.5609106906954399,-0.20275663990628698,-0.5693732176603002,-0.07626393955313027,-0.26206151213924883,-0.7190559272422756,0.9951343212432814,-0.0015576293210210178,0.08053633469620891
