ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ret_factor,adj_close
603288.SH,2014-02-11,61.5,73.8,61.5,66.41,51.25,15.16,29.58,93919.14,622277.229,1.2958,7.828745209444079
603288.SH,2014-02-12,71.44,73.05,68.76,73.05,66.41,6.64,10.0,250567.2,1779847.715,1.42538,8.611619730388487
603288.SH,2014-02-13,69.0,75.6,68.3,71.92,73.05,-1.13,-1.55,172230.44,1252079.371,1.40328661,8.478139624567465
603288.SH,2014-02-14,72.0,75.0,72.0,73.58,71.92,1.66,2.31,99464.06,733892.466,1.435702530691,8.673984649894974
603288.SH,2014-02-17,73.8,74.19,70.93,72.42,73.58,-1.16,-1.58,98462.95,709570.845,1.4130184307060822,8.536935692426633
603288.SH,2014-02-18,72.76,77.8,71.6,74.77,72.42,2.35,3.25,135241.0,1010057.125,1.4589415297040298,8.814386102430497
603288.SH,2014-02-19,73.51,74.5,71.3,71.82,74.77,-2.95,-3.95,83231.4,603810.829,1.4013133392807207,8.466217851384494
603288.SH,2014-02-20,71.7,73.88,71.18,72.06,71.82,0.24,0.33,58542.07,423802.878,1.4059376733003472,8.494156370294064
603288.SH,2014-02-21,72.2,72.98,69.87,70.85,72.06,-1.21,-1.68,53674.38,382447.252,1.3823179203889013,8.351454543273123
603288.SH,2014-02-24,70.05,72.8,69.91,72.65,70.85,1.8,2.54,51307.27,369393.208,1.4174287955667795,8.563581488672261
603288.SH,2014-02-25,72.7,77.76,72.0,72.8,72.65,0.15,0.21,104405.56,784531.313,1.4204053960374696,8.58156500979847
603288.SH,2014-02-26,72.83,73.77,67.5,69.99,72.8,-2.81,-3.86,64255.08,451122.605,1.3655777477504234,8.25031660042025
603288.SH,2014-02-27,69.9,70.53,67.5,67.72,69.99,-2.27,-3.24,44456.1,304953.268,1.3213330287233096,7.983006342566634
603288.SH,2014-02-28,67.6,70.79,65.03,70.25,67.72,2.53,3.74,46951.39,322715.637,1.3707508839975615,8.281570779778628
603288.SH,2014-03-03,69.88,71.55,69.46,70.89,70.25,0.64,0.91,28208.5,199004.011,1.3832247170419394,8.356933073874613
603288.SH,2014-03-04,70.9,71.31,68.66,69.36,70.89,-1.53,-2.16,37677.87,263064.953,1.3533470631538336,8.176423319478921
603288.SH,2014-03-05,69.32,69.93,67.77,69.67,69.36,0.31,0.45,27603.47,189178.564,1.3594371249380257,8.213217224416576
603288.SH,2014-03-06,69.28,70.58,67.63,70.01,69.67,0.34,0.49,25974.26,180009.846,1.366098366850222,8.253461988816218
603288.SH,2014-03-07,69.79,69.79,67.76,67.8,70.01,-2.21,-3.16,20904.29,142816.397,1.322929658457755,7.992652589969625
603288.SH,2014-03-10,66.97,69.49,66.0,67.91,67.8,0.11,0.16,28211.92,191994.133,1.3250463459112876,8.005440834113577
603288.SH,2014-03-11,67.97,70.0,67.15,69.32,67.91,1.41,2.08,32958.49,227462.65,1.3526073099062423,8.17195400346314
603288.SH,2014-03-12,68.68,71.98,68.6,69.94,69.32,0.62,0.89,27067.08,190879.157,1.3646455149644077,8.24468439409396
603288.SH,2014-03-13,69.96,71.5,69.48,69.84,69.94,-0.1,-0.14,23291.25,164633.246,1.3627350112434575,8.233141835942229
603288.SH,2014-03-14,69.5,70.16,68.5,68.87,69.84,-0.97,-1.39,11170.06,77581.21,1.3437929945871734,8.118701164422632
603288.SH,2014-03-17,68.5,70.3,68.44,69.78,68.87,0.91,1.32,14012.82,97680.909,1.3615310621157242,8.22586801979301
603288.SH,2014-03-18,69.5,70.5,69.31,69.6,69.78,-0.18,-0.26,10885.6,76023.748,1.3579910813542233,8.204480762941548
603288.SH,2014-03-19,70.45,71.44,68.88,69.51,69.6,-0.09,-0.13,20687.56,145001.557,1.3562256929484628,8.193814937949725
603288.SH,2014-03-20,69.13,69.21,66.48,66.53,69.51,-2.98,-4.29,28325.74,191086.251,1.2980436107209736,7.842300277111681
603288.SH,2014-03-21,66.5,67.78,66.01,67.7,66.53,1.17,1.76,13249.41,88750.138,1.3208891782696628,7.980324761988847
603288.SH,2014-03-24,67.8,67.99,65.91,66.14,67.7,-1.56,-2.3,20429.68,135640.502,1.2905087271694604,7.796777292463102
603288.SH,2014-03-25,68.5,69.2,67.03,67.91,66.14,1.77,2.68,26520.42,180609.479,1.3250943610576018,8.005730923901114
603288.SH,2014-03-26,67.85,68.6,67.56,67.89,67.91,-0.02,-0.03,15710.71,106915.963,1.3246968327492845,8.003329204623942
603288.SH,2014-03-27,68.25,68.25,66.88,66.89,67.89,-1.0,-1.47,14294.87,96197.828,1.30522378930787,7.88568026531597
603288.SH,2014-03-28,66.98,67.61,66.32,66.39,66.89,-0.5,-0.75,16518.13,110442.907,1.295434610888061,7.826537663326101
603288.SH,2014-03-31,66.51,67.45,66.0,66.13,66.39,-0.26,-0.39,21075.82,140343.987,1.2903824159055974,7.796014166439128
603288.SH,2014-04-01,66.0,67.62,66.0,67.61,66.13,1.48,2.24,11199.87,75184.955,1.3192869820218829,7.970644883767365
603288.SH,2014-04-02,67.5,69.58,67.1,68.82,67.61,1.21,1.79,21024.45,144637.184,1.3429022190000746,8.1133194271868
603288.SH,2014-04-03,68.61,70.0,68.18,68.22,68.82,-0.6,-0.87,10872.84,75146.489,1.3312189696947738,8.042733548170276
603288.SH,2014-04-04,68.26,69.12,67.99,68.64,68.22,0.42,0.62,6497.41,44703.864,1.3394725273068815,8.09259849616893
603288.SH,2014-04-08,68.58,71.33,68.26,71.27,68.64,2.63,3.83,24227.67,170601.18,1.3907743251027351,8.402545018572201
603288.SH,2014-04-09,71.4,71.53,70.1,71.2,71.27,-0.07,-0.1,15066.1,106543.904,1.3893835507776324,8.394142473553629
603288.SH,2014-04-10,70.89,71.58,70.8,70.88,71.2,-0.32,-0.45,14048.35,100021.354,1.3831313247991333,8.356368832422639
603288.SH,2014-04-11,70.25,73.5,70.25,72.53,70.88,1.65,2.33,27940.73,203464.676,1.4153582846669532,8.551072226218087
603288.SH,2014-04-14,72.46,74.0,71.8,72.13,72.53,-0.4,-0.55,11313.39,82250.346,1.407573814101285,8.504041328973889
603288.SH,2014-04-15,72.58,72.6,70.35,70.7,72.13,-1.43,-1.98,14758.19,104806.123,1.3797038525820795,8.335661310660205
